Name,Meaning
antonio,priceless; highly praiseworthy (Italian/Spanish)
anya,grace; favor (Russian/Indian)
apollo,destroyer; god of sun/music (Greek)
april,opening; springtime (Latin/English)
arabella,beautiful altar; graceful (Latin)
aram,highland; exalted (Armenian)
archie,bold; genuine (Scottish/English)
ariana,holy; pure (Greek/Latin)
ariel,lion of God (Hebrew)
arjun,bright; shining (Indian)
arlette,eagle; noble (French)
armando,soldier; warrior (Spanish/Italian)
arman,hope; wish (Persian)
arnav,ocean; sea (Indian)
arnold,strong as an eagle (Germanic)
arthur,strong; noble bear (Celtic)
arturo,noble; courageous (Spanish/Italian)
arya,noble; pure (Indian/Persian)
arvind,lotus; purity (Indian)
asghar,small; young (Arabic)
ashley,ash tree meadow (Old English)
ashton,ash tree town (Old English)
asma,lofty; exalted (Arabic)
astrid,divine strength; beauty (Scandinavian)
atalia,God is exalted (Hebrew)
athena,goddess of wisdom (Greek)
atlas,enduring; bearer of heavens (Greek)
atticus,man of Attica (Greek/Latin)
aubrey,elf ruler; noble (Germanic/French)
audrey,noble strength (Old English)
august,great; venerable (Latin)
aurora,dawn; goddess of sunrise (Latin)
austin,great; magnificent (Latin/English)
ava,bird; life (Germanic/Latin)
avery,ruler of elves (Old English)
axel,father of peace (Scandinavian)
ayaan,gift of God; bright (Arabic/Indian)
ayesha,alive; prosperous (Arabic)

aylin,moonlight; halo (Turkish)
ayodele,joy has come home (Yoruba/Nigerian)
ayush,long life; age (Indian)
azalea,flower; dry (Greek/English)
azhar,bright; radiant (Arabic)
aziz,strong; beloved (Arabic)
azura,sky blue; clear (Spanish/Latin)
azurae,heavenly sky; divine (Modern English)
abbas,strong; lion (Arabic)
abbott,father; priest (English)
abdul,servant of God (Arabic)
abe,father of many; breath (Hebrew)
abel,breath; fleeting (Hebrew)
abner,father of light (Hebrew)
abram,exalted father (Hebrew)
ace,unity; one (Latin/English)
achilles,pain; warrior hero (Greek)
adalberto,noble and bright (Spanish/Italian)
adam,man; earth (Hebrew)
adan,earth; man (Spanish)
adebola,crown brings honor (Yoruba)
adeola,crown of wealth (Yoruba)
adewale,crown has come home (Yoruba)
adhira,lightning; quick (Indian)
aditi,limitless; mother of gods (Indian)
adriana,from Hadria; dark (Latin)
adrien,dark; from Adria (French)
arkram,generous; noble (Arabic)
agustin,venerable; great (Spanish)
ahmet,praiseworthy (Turkish)
aida,returning; helper (Arabic)
aiko,beloved child (Japanese)
aileen,bright; shining (Irish)
aina,mirror; view (Japanese)
aisling,dream; vision (Irish)
ajani,he who wins struggles (Swahili)
ajaya,unconquered; victorious (Indian)
akemi,bright beauty (Japanese)
akira,intelligent; clear (Japanese)
akmal,perfect; complete (Arabic)
alaina,bright; shining light (French)
alban,from Alba; white (Latin)
albertina,noble; bright (Germanic)
albus,white; bright (Latin)
aldo,old; wise (Italian)
alejandro,defender of mankind (Spanish)
aleksei,defender; helper (Russian)
alena,torch; bright (Slavic)
alessandro,defender of men (Italian)
alexei,defender; helper (Russian)
alfie,wise counselor (English)
aliyah,exalted; noble (Hebrew/Arabic)
aline,noble; kind (French)
aliya,high; exalted (Arabic)
allan,handsome; cheerful (Celtic)
alma,soul; nurturing (Latin/Spanish)
alon,oak tree; strong (Hebrew)
alondra,lark; songbird (Spanish)
alphonse,noble; ready (French)
altaf,kindness; gentleness (Arabic)
althea,healer; wholesome (Greek)
alton,old town (English)
alvaro,guardian; protector (Spanish)
alyona,bright; shining (Russian)
amalia,work; industrious (Germanic)
amanda,worthy of love (Latin)
amani,wishes; aspirations (Swahili/Arabic)
amara,eternal; unfading (Latin/Sanskrit)
amaya,night rain; boundless (Japanese/Indian)
amber,precious jewel (Arabic/English)
ambrose,immortal; divine (Greek/Latin)
amelie,hardworking; industrious (French/German)
amina,trustworthy; faithful (Arabic)
amir,prince; ruler (Arabic/Hebrew)
amisha,beautiful; truthful (Indian)
amos,carried; burdened (Hebrew)
amy,beloved; dearly loved (French/Latin)
ana,grace; favor (Spanish/Portuguese)
anabel,graceful; beautiful (Spanish)
anahi,beautiful; immortal (Native American)
anastasia,resurrection; rebirth (Greek)
anders,strong; manly (Scandinavian)
andrea,manly; brave (Greek/Italian)
andrei,strong; manly (Russian)
angel,divine messenger (Greek/Latin)
angelina,little angel (Italian/Spanish)
angelo,angel; messenger (Italian)
ani,beautiful; unique (Armenian)
anika,grace; brilliance (Indian/Greek)
anil,air; wind (Indian)
anisa,companion; friendly (Arabic)
anjali,offering; salutation (Indian)
ankara,anchor; steady (Turkish)
anna,grace; favor (Hebrew)
anne,grace; favor (French/English)
annika,grace; favor (Scandinavian)
ansel,noble; follower of God (Germanic)
anton,worthy of praise (Latin/Slavic)
antonella,priceless; highly praiseworthy (Italian)
antonio,priceless; highly praiseworthy (Spanish/Italian)

anya,grace; favor (Russian/Indian)
apollo,god of sun/music (Greek)
april,opening; springtime (Latin/English)
arabella,beautiful altar; graceful (Latin)
aram,exalted; highland (Armenian)
affan,innocent; pure (Arabic)
archana,worship; devotion (Indian)
archie,bold; genuine (Scottish/English)
ariana,holy; pure (Greek/Latin)
ariel,lion of God (Hebrew)
arif,knowledgeable; wise (Arabic)
arjun,bright; shining (Indian)
arlette,eagle; noble (French)
armando,soldier; warrior (Spanish/Italian)
arnav,ocean; sea (Indian)
arnold,strong as an eagle (Germanic)
arthur,noble bear; strong (Celtic)
arturo,noble; courageous (Spanish/Italian)
arya,noble; pure (Indian/Persian)
abdel,servant of God (Arabic)
abdi,my servant (Somali)
abdoulaye,servant of God (West African)
abena,born on Tuesday (Akan/Ghanaian)
abhira,cowherd; protector (Indian)
abia,great; father of many (Hebrew)
abid,worshipper; devoted (Arabic)
abigail,father’s joy (Hebrew)
abisha,gift of God (Hebrew/Indian)
abner,father of light (Hebrew)
abram,exalted father (Hebrew)
abriella,strong woman of God (French/Latin)
abubakar,father of young camel (Arabic)
acacia,thorny tree; purity (Greek)
acevedo,holly tree (Spanish)
acharya,teacher; spiritual guide (Indian)
achim,God will establish (Hebrew)
ada,noble; serene (Germanic)
adalberto,noble and bright (Spanish/Italian)
adamson,son of Adam (English)
adara,virgin; noble (Hebrew)
addison,son of Adam (English)
ade,royal; crown (Yoruba)
adel,noble; kind (Germanic/Arabic)
adelheid,noble nature (German)
adem,earth; man (Turkish)
adenike,crown is cherished (Yoruba)
adhiraj,king; ruler (Indian)
adiel,ornament of God (Hebrew)
adina,delicate; gentle (Hebrew)
adira,strong; noble (Hebrew)
adnan,settler; one who stays (Arabic)
adolf,noble wolf (Germanic)
adom,help from God (Ghanaian)
adonia,my lord is God (Hebrew)
adrian,from Hadria; dark (Latin)
adrienne,from Adria (French)
afaf,chastity; purity (Arabic)
afia,born on Friday (Akan/Ghanaian)
afreen,praise; encouragement (Arabic/Indian)
agape,divine love (Greek)
agni,fire; energy (Indian)
ahava,love (Hebrew)
ahilan,knowledgeable; learned (Tamil/Indian)
ahlam,dreams; visions (Arabic)
ahmad,praiseworthy (Arabic)
ahura,spirit; divinity (Persian)
aida,helper; returning (Arabic)
aiko,beloved child (Japanese)
ailbhe,white; noble (Irish)
ailin,little rock (Gaelic)
aina,mirror; view (Japanese)
airin,peace; harmony (Japanese)
aisling,dream; vision (Irish)
ajani,struggler; victorious (Swahili)
ajaya,unconquered; victorious (Indian)
akanksha,desire; aspiration (Indian)
akemi,bright beauty (Japanese)
akila,intelligent; wise (Arabic/Indian)
akio,bright man; hero (Japanese)
akiva,protect; shelter (Hebrew)
akmal,perfect; complete (Arabic)
akosua,born on Sunday (Akan/Ghanaian)
akram,generous; noble (Arabic)
aladdin,nobility of faith (Arabic)
alaina,bright; shining light (French)
alair,cheerful; happy (Latin)
alba,dawn; white (Spanish/Italian)
alban,from Alba; white (Latin)
alberta,noble; bright (Germanic)
albina,white; fair (Latin)
albus,white; bright (Latin)
aldana,prosperous; noble (Spanish)
aleah,exalted; noble (Arabic)
alejandro,defender of mankind (Spanish)
aleksei,defender; helper (Russian)
alena,torch; bright (Slavic)
alessandro,defender of men (Italian)
alexei,defender; helper (Russian)
alfonso,noble; ready (Spanish/Italian)
alfred,wise counselor (Old English)

aliya,exalted; noble (Arabic/Hebrew)
alina,bright; beautiful (Slavic)
aline,noble; kind (French)
alisa,joyful; great happiness (Germanic)
alisha,noble; protected by God (Indian/Arabic)
alison,noble; truthful (English/French)
allegra,joyful; lively (Italian)
alma,soul; nurturing (Latin/Spanish)
alon,oak tree; strong (Hebrew)
alondra,lark; songbird (Spanish)
alphonse,noble; ready (French)
altaf,kindness; gentleness (Arabic)
althea,healer; wholesome (Greek)
alton,old town (English)
alvaro,guardian; protector (Spanish)
alyona,bright; shining (Russian)
alyssa,noble; rational (Greek)
amadeo,love of God (Italian/Spanish)
amalia,work; industrious (Germanic)
amanda,worthy of love (Latin)
amani,wishes; aspirations (Swahili/Arabic)
amara,eternal; unfading (Latin/Sanskrit)
amaya,night rain; boundless (Japanese/Indian)
amber,precious jewel (Arabic/English)
ambrose,immortal; divine (Greek/Latin)
amelia,work; industrious (Germanic)
amelie,hardworking; industrious (French/German)
amina,trustworthy; faithful (Arabic)
amir,prince; ruler (Arabic/Hebrew)
amisha,beautiful; truthful (Indian)
amos,carried; burdened (Hebrew)
amy,beloved; dearly loved (French/Latin)
ashvini,star; horse tamer (Sanskrit)

bailey,Bailey is an English name meaning a steward or public official.
balaji,Balaji is a Sanskrit name referring to Lord Venkateshwara; a form of Vishnu.
barbara,Barbara is a Greek name meaning a foreign or strange woman.
barry,Barry is an Irish name meaning a fair-haired or spear-bearing person.
basim,Basim is an Arabic name meaning one who smiles.
basil,Basil is a Greek name meaning royal or kingly.
beatrice,Beatrice is a Latin name meaning she who brings happiness.
beckett,Beckett is an English name meaning a bee cottage or small brook.
bela,Bela is a Sanskrit and Hungarian name meaning time or inner strength.
benjamin,Benjamin is a Hebrew name meaning son of the right hand.
benedict,Benedict is a Latin name meaning blessed.
berenice,Berenice is a Greek name meaning she who brings victory.
bernard,Bernard is a Germanic name meaning brave as a bear.
bertha,Bertha is a German name meaning bright or famous.
bethany,Bethany is a Hebrew name meaning house of figs.
bhavesh,Bhavesh is a Sanskrit name meaning lord of the world.
bhavna,Bhavna is a Sanskrit name meaning feelings or emotions.
bhaskar,Bhaskar is a Sanskrit name meaning the sun or one who gives light.
bhuvan,Bhuvan is a Sanskrit name meaning the world or universe.
bianca,Bianca is an Italian name meaning white or pure.
bimal,Bimal is a Sanskrit name meaning pure or clean.
bindu,Bindu is a Sanskrit name meaning a drop or point.
bipin,Bipin is a Sanskrit name meaning forest or woods.
bjorn,Bjorn is a Scandinavian name meaning bear.
blaise,Blaise is a Latin name meaning one who stammers.
blake,Blake is an English name meaning dark or pale.
blanca,Blanca is a Spanish name meaning white or fair.
boaz,Boaz is a Hebrew name meaning strength or swiftness.
bodhi,Bodhi is a Sanskrit name meaning enlightenment or awakening.
boris,Boris is a Slavic name meaning fighter or warrior.
bradley,Bradley is an English name meaning broad meadow.
brandon,Brandon is an English name meaning hill covered with broom plants.
brenda,Brenda is a Norse name meaning sword or torch.
brendan,Brendan is an Irish name meaning prince or descendant of a ruler.
brian,Brian is an Irish name meaning noble or strong.
bridget,Bridget is an Irish name meaning strength or exalted one.
brijesh,Brijesh is a Sanskrit name meaning lord of Braj: referring to Krishna.
britney,Britney is an English name meaning from Britain.
brock,Brock is an English name meaning badger.
brooke,Brooke is an English name meaning a small stream.
bruno,Bruno is a German name meaning brown or dark-haired.
bryan,Bryan is an Irish name meaning noble or virtuous.
bryce,Bryce is a Celtic name meaning speckled or freckled.
buddha,Buddha is a Sanskrit title meaning the awakened one.
bunny,Bunny is an English nickname meaning little rabbit.
burhan,Burhan is an Arabic name meaning proof or evidence.
burton,Burton is an English name meaning fortified settlement.
bushra,Bushra is an Arabic name meaning good news or glad tidings.
byron,Byron is an English name meaning from the barns.
babita,Babita is an Indian name meaning little girl or beloved daughter.
babu,Babu is an Indian name meaning gentleman or respected person.
badal,Badal is a Hindi name meaning cloud.
badri,Badri is a Sanskrit name referring to a sacred place associated with Lord Vishnu.
bahadur,Bahadur is a Persian-origin name meaning brave or courageous.
bahar,Bahar is a Persian name meaning spring season.
baidyanath,Baidyanath is a Sanskrit name meaning lord of physicians; referring to Shiva.
bairavi,Bairavi is a Sanskrit name meaning a fierce form of the goddess Durga.
bala,Bala is a Sanskrit name meaning child or young one.
baldev,Baldev is a Sanskrit name meaning strong god; another name of Balarama.
balram,Balram is a Sanskrit name meaning brother of Krishna; known for strength.
balwant,Balwant is a Hindi name meaning powerful or strong.
banhi,Banhi is a Sanskrit name meaning fire.
bansi,Bansi is a Sanskrit name meaning flute; associated with Krishna.
barun,Barun is a Sanskrit name meaning lord of the sea; referring to Varuna.
basanti,Basanti is a Sanskrit name meaning of spring.
basilio,Basilio is a Spanish name meaning royal or kingly.
bastian,Bastian is a Greek-derived name meaning venerable or revered.
batu,Batu is a Turkish name meaning strong or firm.
bayan,Bayan is an Arabic name meaning clarity or eloquence.
beau,Beau is a French name meaning handsome.
beena,Beena is a Sanskrit name meaning musical instrument or melody.
bekah,Bekah is a Hebrew name meaning to tie or bind.
belinda,Belinda is a Germanic name meaning bright serpent or beautiful.
bellamy,Bellamy is a French name meaning good friend.
benita,Benita is a Spanish name meaning blessed.
benno,Benno is a German name meaning bear-like or strong.
benvolio,Benvolio is an Italian name meaning goodwill or kindness.
berk,Berk is a Turkish name meaning solid or strong.
berlin,Berlin is a German place name used as a modern given name.
bernadette,Bernadette is a French name meaning brave as a bear.
bertie,Bertie is a Germanic name meaning bright or famous.
bessie,Bessie is a Hebrew-derived name meaning pledged to God.
bhagirath,Bhagirath is a Sanskrit name meaning one who brought the Ganga to earth.
bhanu,Bhanu is a Sanskrit name meaning the sun.
bharat,Bharat is a Sanskrit name meaning one who is cherished; also the name of India.
bharti,Bharti is a Sanskrit name meaning goddess of learning or Saraswati.
bheem,Bheem is a Sanskrit name meaning mighty or powerful.
bhola,Bhola is a Hindi name meaning innocent or simple.
bhumi,Bhumi is a Sanskrit name meaning earth.
bhuvana,Bhuvana is a Sanskrit name meaning the world.
bhuvi,Bhuvi is a Sanskrit name meaning heaven or earth.
bibi,Bibi is a Persian name meaning lady or respected woman.
bikram,Bikram is a Sanskrit name meaning valor or bravery.
barack,Barack is a Swahili name meaning blessed.
bilal,Bilal is an Arabic name meaning moistening or refreshing.
bilqis,Bilqis is an Arabic name referring to the Queen of Sheba.
binita,Binita is a Sanskrit name meaning humble or modest.
binta,Binta is an Arabic name meaning daughter.
binyamin,Binyamin is a Hebrew name meaning son of the right hand.
birbal,Birbal is an Indian name meaning brave heart :also a historical figure.
biren,Biren is a Sanskrit name meaning lord of warriors.

bishal,Bishal is a Sanskrit name meaning vast or grand.
bishnu,Bishnu is a Sanskrit name referring to the god Vishnu.
bjarke,Bjarke is a Danish name meaning little bear.
bjarne,Bjarne is a Scandinavian name meaning bear.
blair,Blair is a Scottish name meaning plain or field.
blanca-luz,Blanca-Luz is a Spanish name meaning white light.
blossom,Blossom is an English name meaning a flower in bloom.
blythe,Blythe is an English name meaning happy or carefree.
bo,Bō is a Chinese name meaning precious or treasure.
bohdan,Bohdan is a Slavic name meaning given by God.
bokang,Bokang is a Korean name meaning shining or bright.
bolin,Bolin is a Chinese name meaning elder brother rain.
bonaventure,Bonaventure is a Latin name meaning good fortune.
bond,Bond is an English name meaning farmer or peasant.
bonita,Bonita is a Spanish name meaning pretty.
bonnie,Bonnie is a Scottish name meaning beautiful.
borna,Borna is a Slavic name meaning defender.
bosco,Bosco is an Italian name meaning woods or forest.
boulos,Boulos is an Arabic form of Paul meaning small or humble.
boyd,Boyd is a Scottish name meaning yellow or fair.
brad,Brad is an English name meaning broad clearing.
braden,Braden is an Irish name meaning descendant of Bradan.
braeden,Braeden is a modern name meaning broad hill.
brahma,Brahma is a Sanskrit name meaning creator god.
brahmi,Brahmi is a Sanskrit name meaning sacred plant or divine energy.
brajesh,Brajesh is a Sanskrit name meaning lord of Braj.
bram,Bram is a Hebrew name meaning father of multitudes.
branka,Branka is a Slavic name meaning defender or protector.
brant,Brant is a German name meaning sword or firebrand.
brayan,Brayan is a modern variation of Brian meaning noble.
breanna,Breanna is an Irish name meaning strong or virtuous.
brett,Brett is a Celtic name meaning from Brittany.
brice,Brice is a Celtic name meaning swift.
brinda,Brinda is a Sanskrit name meaning basil or sacred plant.
brinley,Brinley is an English name meaning burned meadow.
briony,Briony is a Greek name referring to a flowering plant.
brisa,Brisa is a Spanish name meaning breeze.
britta,Britta is a Scandinavian name meaning strength.
bronson,Bronson is an English name meaning son of Brown.
bronte,Bronte is a Greek name meaning thunder.
bruno-mars,Bruno-Mars is a modern compound name inspired by the singer Bruno Mars.
brutus,Brutus is a Latin name meaning heavy or strong.
brynn,Brynn is a Welsh name meaning hill.
badr,Badr is an Arabic name meaning full moon.
badriya,Badriya is an Arabic name meaning like the full moon.
bahija,Bahija is an Arabic name meaning joyful or happy.
baiju,Baiju is an Indian name meaning a musician or devoted person.
bakhtawar,Bakhtawar is a Persian name meaning fortunate or lucky.
bakul,Bakul is a Sanskrit name meaning a fragrant flower.
balajiya,Balajiya is an Indian name meaning devoted to Lord Balaji.
balan,Balan is a Sanskrit name meaning young or childlike.
balbir,Balbir is a Punjabi name meaning strong and brave.
baljeet,Baljeet is a Punjabi name meaning mighty victory.
balkrishna,Balkrishna is a Sanskrit name meaning young Krishna.
balraj,Balraj is a Sanskrit name meaning strong king.
balvinder,Balvinder is a Punjabi name meaning powerful lord.
banita,Banita is a Sanskrit name meaning woman.
bankim,Bankim is a Sanskrit name meaning curved or bent.
barron, Barron is an English name meaning nobleman or warrior.
bansari,Bansari is a Sanskrit name meaning flute.
barak,Barak is a Hebrew name meaning lightning.
baran,Baran is a Persian name meaning rain.
barsha,Barsha is a Sanskrit name meaning rain.
basavaraj,Basavaraj is a Kannada name meaning king of bulls.
basheer,Basheer is an Arabic name meaning bringer of good news.
basilia,Basilia is a Greek name meaning royal.
basima,Basima is an Arabic name meaning smiling.
basit,Basit is an Arabic name meaning one who expands or enlarges.
batuhan,Batuhan is a Turkish name meaning strong ruler.
bavya,Bavya is a Sanskrit name meaning grand or splendid.
bayanaka,Bayanaka is a Sanskrit name meaning fearful or powerful.
beatrix,Beatrix is a Latin name meaning bringer of joy.
beaufort,Beaufort is a French name meaning beautiful fortress.
bedelia,Bedelia is an Irish name meaning strength or exalted one.
bedros,Bedros is an Armenian name meaning rock or stone.
beenaakshi,Beenaakshi is an Indian name meaning one with musical eyes.
behram,Behram is a Persian name meaning victorious.
bekir,Bekir is a Turkish name meaning early or first-born.
belkis,Belkis is an Arabic name referring to the Queen of Sheba.
belva,Belva is a Latin name meaning beautiful view.
benazir,Benazir is a Persian name meaning incomparable.
bendeguz,Bendeguz is a Hungarian name meaning blessed warrior.
beniamino,Beniamino is an Italian name meaning son of the right hand.
benilda,Benilda is a Germanic name meaning strong and kind.
benjamina,Benjamina is a Hebrew name meaning daughter of the right hand.
benvola,Benvola is an Italian name meaning goodwill.
berenger,Berenger is a Germanic name meaning bear spear.
berit,Berit is a Scandinavian name meaning bright covenant.
bernadina,Bernadina is a Spanish name meaning brave as a bear.
bertrand,Bertrand is a Germanic name meaning bright raven.
besa,Besa is an Albanian name meaning promise or faith.
beyza,Beyza is a Turkish name meaning very pure or white.
bhadrak,Bhadrak is a Sanskrit name meaning noble or auspicious.
bhairav,Bhairav is a Sanskrit name meaning a fierce form of Shiva.
bhakti,Bhakti is a Sanskrit name meaning devotion or love for God.
badrul,Badrul is an Arabic name meaning light of the full moon
badsha,Badsha is a Persian name meaning king or emperor
bagya,Bagya is a Sanskrit name meaning fortune or luck
bahman,Bahman is a Persian name meaning good mind or noble spirit
bairag,Bairag is a Sanskrit name meaning detachment or renunciation

bajrang,Bajrang is a Sanskrit name meaning strong like Hanuman
bakshi,Bakshi is a Persian name meaning giver or distributor
balendu,Balendu is a Sanskrit name meaning young moon
balesh,Balesh is a Sanskrit name meaning lord of strength
balika,Balika is a Sanskrit name meaning young girl
balin,Balin is a Sanskrit name meaning mighty warrior
baljit,Baljit is a Punjabi name meaning victorious strength
balveer,Balveer is a Hindi name meaning brave and powerful
bansi lal,Bansi Lal is an Indian name meaning beloved flute player
barid,Barid is an Arabic name meaning messenger
barindra,Barindra is a Sanskrit name meaning ocean
baris,Baris is a Turkish name meaning peace
barsha rani,Barsha Rani is an Indian name meaning queen of rain
basant,Basant is a Sanskrit name meaning spring season
basavarajappa,Basavarajappa is a Kannada name meaning devoted king
basdev,Basdev is a Sanskrit name meaning lord Krishna
basheera,Basheera is an Arabic name meaning bringer of good news
basilraj,Basilraj is a mixed name meaning royal king
basima khatun,Basima Khatun is an Arabic name meaning smiling lady
basir,Basir is an Arabic name meaning all seeing
bavithra,Bavithra is a Sanskrit name meaning pure and sacred
bawan,Bawan is an Indian name meaning sacred number fifty two
bayar,Bayar is a Mongolian name meaning joy
bayanai,Bayanai is a Siberian name meaning spirit of forest
bechir,Bechir is an Arabic name meaning bringer of good news
bedanidhi,Bedanidhi is a Sanskrit name meaning treasure of knowledge
behlol,Behlol is a Persian name meaning fortunate leader
bejoy,Bejoy is an Indian name meaning victory
bekzod,Bekzod is an Uzbek name meaning noble born
belur,Belur is an Indian name referring to a sacred place
benhur,Benhur is a Hebrew name meaning son of Hur
benish,Benish is an Arabic name meaning polite person
benoy,Benoy is an Indian name meaning humble and respectful
benton,Benton is an English name meaning town on bent grass
berachah,Berachah is a Hebrew name meaning blessing
berengerus,Berengerus is a Latin name meaning brave warrior
berkley,Berkley is an English name meaning birch tree meadow
bernat,Bernat is a Catalan name meaning brave as a bear
bernice,Bernice is a Greek name meaning bringer of victory
berrak,Berrak is a Turkish name meaning clear and pure
bertil,Bertil is a Scandinavian name meaning bright ruler
besim,Besim is an Arabic name meaning cheerful person
bethel,Bethel is a Hebrew name meaning house of God
bethuel,Bethuel is a Hebrew name meaning man of God
bhadran,Bhadran is a Sanskrit name meaning noble person
bhagwant,Bhagwant is a Sanskrit name meaning fortunate or divine

Chaitanya,consciousness and spirit.
Caleb,whole-hearted and devoted.
Catherine,pure and clear.
Casper,treasurer of secrets.
Chloe,blooming green sprout.
Connor,lover of hounds.
Clara,bright and famous.
chandrakant,moonstone; beloved of the moon.
Callum,symbolizes a dove.
Cora,maiden or daughter.
Cedric,bounty and kindly.
Celia,heavenly or sky.
Cian,ancient and enduring.
Cleo,pride or fame.
Cyrus,sun or lord.
Cassia,cinnamon-like fragrance.
Cole,charcoal or black.
Camilla,young ceremonial attendant.
Cormac,son of defilement.
Cadence,rhythm and flow.
Cade,round or barrel.
Calista,most beautiful one.
Cassian,empty or hollow.
Colette,victory of people.
Caspian,from the sea.
Carmen,song or poem.
Curtis,polite and courteous.
Cassandra,shining upon men.
Colin,young pup or cub.
Cecilia,blind to self.
Clyde,from the river.
